Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 1,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 2,The Curious Incident of the Dog in the Night-Time,"Mark Haddon, Mark Haddon","Autistic Spectrum Disorder, Book Club, Classics, Contemporary, Fiction, Mystery, Young Adult"
Knjiga 3,Dissolution,"C.J. Sansom, C.J. Sansom","Audiobook, Crime, Fiction, Historical, Historical Fiction, Historical Mystery, Mystery"
Knjiga 4,The Cafe on the Edge of the World: A Story About the Meaning of Life,"John P. Strelecky, John P. Strelecky","Audiobook, Fiction, German Literature, Philosophy, Psychology, Roman, Self Help"
Knjiga 5,Trickster's Choice,"Tamora Pierce, Tamora Pierce","Adventure, Fantasy, Fiction, Magic, Romance, Young Adult, Young Adult Fantasy"
Knjiga 6,The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter,"Michael D. Watkins, Michael D. Watkins","Business, Leadership, Management, Nonfiction, Personal Development, Professional Development, Self Help"
Knjiga 7,The Known World,"Edward P. Jones, Edward P. Jones","African American, Book Club, Fiction, Historical, Historical Fiction, Literary Fiction, Literature"
Knjiga 8,How to Train Your Dragon,"Cressida Cowell, Cressida Cowell","Adventure, Audiobook, Childrens, Dragons, Fantasy, Fiction, Middle Grade"
Knjiga 9,Rubicon: The Last Years of the Roman Republic,"Tom Holland, Tom Holland","Ancient History, Historical, History, Nonfiction, Politics, Roman, Roman History"
Knjiga 10,Lost Light,"Michael    Connelly, Michael    Connelly","Audiobook, Crime, Detective, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 11,A Faint Cold Fear,"Karin Slaughter, Karin Slaughter","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 12,Forest of Secrets,"Erin Hunter, Erin Hunter","Animals, Cats, Childrens, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 13,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Erik Larson","Book Club, Crime, Historical, History, Mystery, Nonfiction, True Crime"
Knjiga 14,Keeping You a Secret,"Julie Anne Peters, Julie Anne Peters","Contemporary, Fiction, LGBT, Lesbian, Queer, Romance, Young Adult"
Knjiga 15,The Sinner,"Tess Gerritsen, Tess Gerritsen","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 16,Vampire Kisses,"Ellen Schreiber, Ellen Schreiber","Fantasy, Paranormal, Paranormal Romance, Romance, Supernatural, Vampires, Young Adult"
Knjiga 17,Second Glance,"Jodi Picoult, Jodi Picoult","Adult Fiction, Chick Lit, Contemporary, Fiction, Mystery, Paranormal, Romance"
Knjiga 18,Key of Light,"Nora Roberts, Nora Roberts","Contemporary, Contemporary Romance, Fantasy, Fiction, Paranormal, Paranormal Romance, Romance"
Knjiga 19,Pompeii,"Robert   Harris, Robert   Harris","Audiobook, Fiction, Historical, Historical Fiction, Italy, Mystery, Thriller"
Knjiga 20,Lord John and the Private Matter,"Diana Gabaldon, Diana Gabaldon","Fantasy, Fiction, Historical, Historical Fiction, Mystery, Outlander, Romance"
Knjiga 21,Dance with the Devil,"Sherrilyn Kenyon, Sherrilyn Kenyon","Fantasy, Mythology, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires"
Knjiga 22,Quicksilver,"Neal Stephenson, Neal Stephenson","Audiobook, Fantasy, Fiction, Historical, Historical Fiction, Science Fiction, Science Fiction Fantasy"
Knjiga 23,Pattern Recognition,"William Gibson, William Gibson","Cyberpunk, Fiction, Mystery, Novels, Science Fiction, Science Fiction Fantasy, Thriller"
Knjiga 24,The Five People You Meet in Heaven,"Mitch Albom, Mitch Albom","Book Club, Classics, Contemporary, Fantasy, Fiction, Inspirational, Spirituality"
Knjiga 25,Night Embrace,"Sherrilyn Kenyon, Sherrilyn Kenyon","Fantasy, Mythology, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires"
Knjiga 26,Superman: Red Son,"Mark Millar, Dave Johnson, Kilian Plunkett, Mark Millar","Comic Book, Comics, Dc Comics, Fiction, Graphic Novels, Superheroes, Superman"
Knjiga 27,A Northern Light,"Jennifer Donnelly, Jennifer Donnelly","Fiction, Historical, Historical Fiction, Mystery, Romance, Teen, Young Adult"
Knjiga 28,The Cat in the Hat and Other Dr. Seuss Favorites,"Dr. Seuss, Kelsey Grammer, Dustin Hoffman, Dr. Seuss","Audiobook, Childrens, Classics, Fantasy, Fiction, Picture Books, Poetry"
Knjiga 29,East,"Edith Pattou, Edith Pattou","Fairy Tales, Fantasy, Fiction, Middle Grade, Retellings, Romance, Young Adult"
Knjiga 30,Regarding the Pain of Others,"Susan Sontag, Susan Sontag","Art, Essays, History, Nonfiction, Philosophy, Photography, Theory"
Knjiga 31,Princess in Waiting,"Meg Cabot, Meg Cabot","Chick Lit, Childrens, Contemporary, Fiction, Romance, Teen, Young Adult"
Knjiga 32,The Creative Habit: Learn It and Use It for Life,"Twyla Tharp, Mark Reiter, Twyla Tharp","Art, Business, Design, Nonfiction, Psychology, Self Help, Writing"
Knjiga 33,Naked Empire,"Terry Goodkind, Terry Goodkind","Adventure, Epic Fantasy, Fantasy, Fiction, High Fantasy, Magic, Science Fiction Fantasy"
Knjiga 34,Eagle Strike,"Anthony Horowitz, Anthony Horowitz","Action, Adventure, Espionage, Fiction, Mystery, Thriller, Young Adult"
Knjiga 35,The Devil Wears Prada,"Lauren Weisberger, Lauren Weisberger","Adult, Adult Fiction, Chick Lit, Contemporary, Fiction, Humor, Romance"
Knjiga 36,Gathering Moss: A Natural and Cultural History of Mosses,"Robin Wall Kimmerer, Robin Wall Kimmerer","Audiobook, Ecology, Environment, Essays, Nature, Nonfiction, Science"
Knjiga 37,Don't Waste Your Life,"John      Piper, John      Piper","Christian, Christian Living, Christianity, Faith, Nonfiction, Religion, Theology"
Knjiga 38,Cerulean Sins,"Laurell K. Hamilton, Laurell K. Hamilton","Fantasy, Fiction, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires"
Knjiga 39,Blow Fly,"Patricia Cornwell, Patricia Cornwell","Crime, Fiction, Murder Mystery, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 40,Sunshine,"Robin McKinley, Robin McKinley","Fantasy, Fiction, Horror, Paranormal, Urban Fantasy, Vampires, Young Adult"
Knjiga 41,Tatiana and Alexander,"Paullina Simons, Paullina Simons","Fiction, Historical, Historical Fiction, Historical Romance, Romance, Russia, War"
Knjiga 42,No Second Chance,"Harlan Coben, Harlan Coben","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 43,The Lady and the Unicorn,"Tracy Chevalier, Tracy Chevalier","Art, Fiction, France, Historical, Historical Fiction, Medieval, Romance"
Knjiga 44,Saving Francesca,"Melina Marchetta, Melina Marchetta","Australia, Contemporary, Fiction, Mental Health, Realistic Fiction, Romance, Young Adult"
Knjiga 45,لا تحزن,"عائض القرني, عائض القرني","Islam, Nonfiction, Philosophy, Psychology, Religion, Self Help, Spirituality"
Knjiga 46,A Short History of Nearly Everything,"Bill Bryson, Bill Bryson","Audiobook, History, Humor, Nonfiction, Physics, Popular Science, Science"
Knjiga 47,The Dante Club,"Matthew Pearl, Matthew Pearl","Crime, Fiction, Historical, Historical Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 48,How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines,"Thomas C. Foster, Thomas C. Foster","Books About Books, Education, Literature, Nonfiction, Read For School, School, Writing"
Knjiga 49,Summer People,"Elin Hilderbrand, Elin Hilderbrand","Beach Reads, Chick Lit, Contemporary, Fiction, Romance, Summer, Summer Reads"
Knjiga 50,The Darkness That Comes Before,"R. Scott Bakker, R. Scott Bakker","Dark Fantasy, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy"
Knjiga 51,Bleachers,"John Grisham, John Grisham","Audiobook, Contemporary, Fiction, Football, Mystery, Sports, Thriller"
Knjiga 52,The Seeing Stone,"Tony DiTerlizzi, Holly Black, Tony DiTerlizzi","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 53,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,"Bethany McLean, Peter Elkind, Bethany McLean","Audiobook, Business, Economics, Finance, History, Nonfiction, True Crime"
Knjiga 54,Executive Power,"Vince Flynn, Vince Flynn","Action, Audiobook, Espionage, Fiction, Mystery, Spy Thriller, Thriller"
Knjiga 55,The Dot,"Peter H. Reynolds, Peter H. Reynolds","Art, Childrens, Fiction, Inspirational, Picture Books, Realistic Fiction, Self Esteem"
Knjiga 56,Princess in Pink,"Meg Cabot, Meg Cabot","Chick Lit, Childrens, Contemporary, Fiction, Romance, Teen, Young Adult"
Knjiga 57,Can You Keep a Secret?,"Sophie Kinsella, Sophie Kinsella","Adult, Chick Lit, Contemporary, Contemporary Romance, Fiction, Humor, Romance"
Knjiga 58,Bare Bones,"Kathy Reichs, Kathy Reichs","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 59,Brick Lane,"Monica Ali, Monica Ali","Bangladesh, Book Club, Contemporary, Fiction, India, Literary Fiction, London"
