Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 1,1984,"George Orwell, Thomas Pynchon, George Orwell","Classics, Dystopia, Fiction, Literature, Novels, Politics, Science Fiction"
Knjiga 2,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa, Gabriel García Márquez","Book Club, Fantasy, Fiction, Historical Fiction, Literature, Magical Realism, Novels"
Knjiga 3,The Kite Runner,"Khaled Hosseini, Khaled Hosseini","Book Club, Contemporary, Fiction, Historical, Historical Fiction, Novels, School"
Knjiga 4,Fahrenheit 451,"Ray Bradbury, Ray Bradbury","Audiobook, Dystopia, Fiction, Literature, Novels, School, Science Fiction"
Knjiga 5,Lord of the Flies,"William Golding, William Golding","Classics, Dystopia, Fiction, Literature, Read For School, School, Young Adult"
Knjiga 6,Crime and Punishment,"Fyodor Dostoevsky, David McDuff, Joseph Frank, Fyodor Dostoevsky","Crime, Fiction, Literature, Novels, Philosophy, Russia, Russian Literature"
Knjiga 7,"The Hobbit, or There and Back Again","J.R.R. Tolkien, Douglas A. Anderson, Michael Hague, J.R.R. Tolkien, Andy Weir","Adventure, Audiobook, Classics, Fantasy, Fiction, High Fantasy, Young Adult"
Knjiga 8,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 9,The Picture of Dorian Gray,"Oscar Wilde, Robert Mighall, Oscar Wilde","Classics, Dark Academia, Fantasy, Fiction, Gothic, Horror, Literature"
Knjiga 10,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 11,The Handmaid's Tale,"Margaret Atwood, Margaret Atwood","Book Club, Classics, Dystopia, Fantasy, Feminism, Fiction, Science Fiction"
Knjiga 12,The Great Gatsby,"F. Scott Fitzgerald, Jesmyn Ward, F. Scott Fitzgerald","Fiction, Historical Fiction, Literature, Novels, Read For School, Romance, School"
Knjiga 13,The da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 14,Of Mice and Men,"John Steinbeck, John Steinbeck","Fiction, High School, Historical Fiction, Literature, Novels, Read For School, School"
Knjiga 15,The Hunger Games,"Suzanne Collins, Suzanne Collins","Audiobook, Book Club, Fantasy, Fiction, Science Fiction, Teen, Young Adult"
Knjiga 16,Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte Gordon, Mary Wollstonecraft Shelley","Fantasy, Fiction, Gothic, Horror, Literature, School, Science Fiction"
Knjiga 17,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 18,Jane Eyre,"Charlotte Brontë, Michael Mason, Charlotte Brontë","Audiobook, Fiction, Gothic, Historical, Historical Fiction, Literature, School"
Knjiga 19,Slaughterhouse-Five,"Kurt Vonnegut Jr., Kurt Vonnegut Jr.","Classics, Fiction, Historical Fiction, Literature, Novels, Science Fiction, War"
Knjiga 20,Wuthering Heights,"Emily Brontë, Pauline Nestor, Lucasta Miller, Emily Brontë","19th Century, Fiction, Gothic, Historical, Historical Fiction, Literature, Novels"
Knjiga 21,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Adventure, Audiobook, Childrens, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 22,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Adventure, Audiobook, Childrens, Fantasy, Fiction, Magic, Young Adult"
Knjiga 23,To Kill a Mockingbird,"Harper Lee, Harper Lee","Historical, Historical Fiction, Literature, Novels, Read For School, School, Young Adult"
Knjiga 24,The Book Thief,"Markus Zusak, Markus Zusak","Book Club, Classics, Fiction, Historical, Historical Fiction, War, Young Adult"
Knjiga 25,The Old Man and the Sea,"Ernest Hemingway, Ernest Hemingway","Adventure, American, Fiction, Literary Fiction, Literature, Novels, School"
Knjiga 26,Lolita,"Vladimir Nabokov, Vladimir Nabokov","Fiction, Literary Fiction, Literature, Novels, Romance, Russia, Russian Literature"
Knjiga 27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Adventure, Audiobook, Childrens, Fantasy, Fiction, Magic, Young Adult"
Knjiga 28,The Fault in Our Stars,"John Green, John Green","Book Club, Coming Of Age, Contemporary, Fiction, Realistic Fiction, Teen, Young Adult"
Knjiga 29,Life of Pi,"Yann Martel, Yann Martel","Adventure, Book Club, Classics, Fantasy, Fiction, Magical Realism, Novels"
Knjiga 30,Anna Karenina,"Leo Tolstoy, Aylmer Maude, Louise Maude, Leo Tolstoy","Fiction, Historical Fiction, Literature, Novels, Romance, Russia, Russian Literature"
Knjiga 31,The Road,"Cormac McCarthy, Cormac McCarthy","Book Club, Dystopia, Fiction, Horror, Literature, Post Apocalyptic, Science Fiction"
Knjiga 32,The Bell Jar,"Sylvia Plath, Frances McCullough, Lois Ames, Sylvia Plath","Book Club, Feminism, Fiction, Literary Fiction, Literature, Mental Health, Psychology"
Knjiga 33,The Fellowship of the Ring,"J.R.R. Tolkien, J.R.R. Tolkien, Ken Liu","Adventure, Audiobook, Classics, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy"
Knjiga 34,Animal Farm,"George Orwell, Russell Baker, C.M. Woodhouse, George Orwell","Dystopia, Fantasy, Fiction, Literature, Novels, School, Science Fiction"
Knjiga 35,The Brothers Karamazov,"Fyodor Dostoevsky, Richard Pevear, Larissa Volokhonsky, Fyodor Dostoevsky","Classics, Fiction, Literature, Novels, Philosophy, Russia, Russian Literature"
Knjiga 36,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim, Richmond Hoxie, Milan Kundera","Classics, Czech Literature, Fiction, Literature, Novels, Philosophy, Romance"
Knjiga 37,A Thousand Splendid Suns,"Khaled Hosseini, Khaled Hosseini","Book Club, Classics, Fiction, Historical, Historical Fiction, Novels, War"
Knjiga 38,The Curious Incident of the Dog in the Night-Time,"Mark Haddon, Mark Haddon","Autistic Spectrum Disorder, Book Club, Classics, Fiction, Mystery, Novels, Young Adult"
